Global Land and Ocean December Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1850,-0.07
1851,-0.03
1852,-0.09
1853,-0.22
1854,0.01
1855,-0.20
1856,-0.37
1857,-0.16
1858,-0.20
1859,-0.04
1860,-0.48
1861,-0.25
1862,-0.29
1863,-0.08
1864,-0.11
1865,-0.11
1866,-0.09
1867,-0.33
1868,-0.09
1869,-0.07
1870,-0.36
1871,-0.23
1872,-0.28
1873,-0.12
1874,-0.25
1875,-0.31
1876,-0.22
1877,0.10
1878,-0.08
1879,-0.31
1880,-0.16
1881,-0.09
1882,-0.25
1883,-0.23
1884,-0.34
1885,-0.08
1886,-0.26
1887,-0.27
1888,-0.06
1889,-0.20
1890,-0.23
1891,-0.06
1892,-0.48
1893,-0.28
1894,-0.18
1895,-0.08
1896,0.01
1897,-0.20
1898,-0.15
1899,-0.26
1900,-0.06
1901,-0.37
1902,-0.27
1903,-0.46
1904,-0.35
1905,-0.09
1906,-0.19
1907,-0.42
1908,-0.45
1909,-0.43
1910,-0.61
1911,-0.13
1912,-0.45
1913,-0.07
1914,0.00
1915,-0.24
1916,-0.70
1917,-0.48
1918,-0.26
1919,-0.39
1920,-0.42
1921,-0.15
1922,-0.21
1923,0.00
1924,-0.37
1925,0.08
1926,-0.21
1927,-0.25
1928,-0.14
1929,-0.45
1930,-0.02
1931,-0.06
1932,-0.23
1933,-0.34
1934,-0.01
1935,-0.11
1936,0.00
1937,0.03
1938,-0.07
1939,0.46
1940,0.33
1941,0.25
1942,0.11
1943,0.23
1944,0.16
1945,-0.04
1946,-0.21
1947,-0.05
1948,-0.19
1949,-0.10
1950,-0.12
1951,0.21
1952,0.05
1953,0.07
1954,-0.12
1955,-0.27
1956,-0.02
1957,0.17
1958,0.08
1959,0.02
1960,0.26
1961,-0.09
1962,0.06
1963,0.05
1964,-0.23
1965,-0.02
1966,0.01
1967,0.04
1968,-0.07
1969,0.33
1970,-0.10
1971,-0.05
1972,0.14
1973,0.05
1974,-0.06
1975,-0.09
1976,0.12
1977,0.11
1978,0.12
1979,0.50
1980,0.23
1981,0.45
1982,0.41
1983,0.27
1984,0.06
1985,0.17
1986,0.17
1987,0.48
1988,0.32
1989,0.40
1990,0.41
1991,0.33
1992,0.22
1993,0.18
1994,0.40
1995,0.32
1996,0.38
1997,0.59
1998,0.59
1999,0.49
2000,0.30
2001,0.63
2002,0.51
2003,0.76
2004,0.50
2005,0.74
2006,0.78
2007,0.52
2008,0.57
2009,0.70
2010,0.52
2011,0.61
2012,0.55
2013,0.72
2014,0.79
2015,1.13
2016,0.91
2017,0.99
2018,0.94
2019,1.10
2020,0.84
2021,0.87
2022,0.84
2023,1.43
