Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,65.5693658537,65.9880243902,66.3655365854,66.7139756098,67.0442926829,67.3697560976,67.699,68.0346829268,68.3771463415,68.7284146341,69.0861463415,69.446097561,69.7991463415,70.1396585366,70.4652926829,70.777804878,71.0808292683,71.3777073171,71.6697804878,71.9528536585,72.2201463415,72.4623414634,72.673195122,72.8490243902,72.9897560976,73.0979756098,73.1793658537,73.2427073171,73.2962439024,73.3444878049,73.3899756098,73.4331219512,73.4717560976,73.5053170732,73.5357560976,73.5636097561,73.5899512195,73.6163414634,73.6448536585,73.6794878049,73.724195122,73.7844390244,73.8621707317,73.9588292683,74.071902439,74.199902439,74.3388292683,74.4827560976,74.6276829268,74.7711463415,74.9106341463,75.0476585366,75.183195122,75.3197317073,75.4567804878,75.5943414634
Afghanistan,32.3375609756,32.7869756098,33.2289268293,33.666902439,34.101902439,34.534902439,34.9669268293,35.3989268293,35.8324146341,36.2693902439,36.7128292683,37.1617560976,37.6201707317,38.0885853659,38.571,39.0694390244,39.5853902439,40.1198536585,40.6768292683,41.258804878,41.8752439024,42.5336097561,43.235902439,43.980097561,44.762195122,45.5792195122,46.4276585366,47.2965609756,48.1704634146,49.0313658537,49.857804878,50.6277560976,51.3327560976,51.9702682927,52.5438292683,53.0624146341,53.5435365854,54.0097073171,54.482902439,54.9751463415,55.4989268293,56.0607073171,56.6535365854,57.2658780488,57.8912195122,58.5155853659,59.1259512195,59.7088536585,60.2567317073,60.7646097561,61.2354634146,61.6742439024,62.0929756098,62.5016097561,62.9026829268,63.298195122
Angola,33.2260243902,33.5477560976,33.888,34.2447317073,34.6174634146,35.0022195122,35.3965121951,35.7978536585,36.2022682927,36.6072195122,37.0142195122,37.4257560976,37.8433170732,38.2618536585,38.6753170732,39.0721219512,39.441195122,39.7724634146,40.0614878049,40.3077804878,40.5109268293,40.6755853659,40.8143658537,40.9378292683,41.0530243902,41.1613414634,41.2607073171,41.3514878049,41.4416097561,41.5435853659,41.6694878049,41.8284634146,42.0346585366,42.303097561,42.6502926829,43.0981219512,43.6659512195,44.3551463415,45.1595853659,46.0707804878,47.0767560976,48.1626341463,49.3015609756,50.4661219512,51.6328536585,52.7877073171,53.9271219512,55.0475121951,56.1392926829,57.181,58.1411219512,58.9912439024,59.7184390244,60.3217560976,60.8067317073,61.1893414634
Albania,62.2543658537,63.2734634146,64.1628536585,64.887097561,65.438195122,65.8273902439,66.0893170732,66.2872195122,66.4749512195,66.6816097561,66.9325853659,67.2388780488,67.5859512195,67.9579512195,68.3483414634,68.7412195122,69.1155121951,69.4561707317,69.7542439024,70.0096585366,70.2359756098,70.4544634146,70.6851219512,70.9373902439,71.2065365854,71.4712195122,71.6975609756,71.8619512195,71.9532926829,71.9785853659,71.9587804878,71.9262682927,71.9179756098,71.964804878,72.0807317073,72.2762682927,72.5514878049,72.8839512195,73.2506341463,73.6355365854,74.0140243902,74.3629268293,74.6706585366,74.9347073171,75.157097561,75.3570243902,75.5612439024,75.7949268293,76.0726585366,76.3948780488,76.747902439,77.1084634146,77.4482682927,77.747097561,77.9983902439,78.2031463415
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,46.8150450841,47.397232056,47.977767874,48.5608743857,49.1473947055,49.7326572961,50.3067792815,50.8640017382,51.403916254,51.9327318635,52.4610872735,53.0042959802,53.5723479501,54.1664816547,54.7803428295,55.405283754,56.0301229505,56.6459516617,57.2518840931,57.8557942001,58.469154077,59.1024604599,59.7580797909,60.430139901,61.1040817627,61.7584836112,62.3733260824,62.9364131814,63.4405421435,63.8870326248,64.3192728133,64.6875368778,64.9815424705,65.3456480581,65.7133613741,66.1249644791,66.4841750395,66.8263099963,67.1432096994,67.4345973859,67.7034743682,67.9566832117,68.2021711432,68.4482092252,68.6985375587,68.9518052402,69.2033186615,69.4456914433,69.6716376993,69.8792992432,70.07136083,70.2556943132,70.4406750515,70.6313782768,70.8275894932,71.0284385361
United Arab Emirates,52.2887073171,53.3340487805,54.3764878049,55.415,56.4460731707,57.461195122,58.4493414634,59.4004634146,60.3060487805,61.1620731707,61.9670487805,62.7224390244,63.4362926829,64.114097561,64.7608536585,65.3785609756,65.9682439024,66.5288780488,67.0634634146,67.5730243902,68.0580487805,68.5205365854,68.9599756098,69.3778780488,69.7752439024,70.1545609756,70.5153414634,70.8580731707,71.1857560976,71.4994146341,71.8020243902,72.0941219512,72.377195122,72.6532682927,72.9242926829,73.1922682927,73.4586341463,73.723902439,73.9875121951,74.2500243902,74.5094634146,74.7668780488,75.0183170732,75.2638292683,75.5014146341,75.7285365854,75.944195122,76.1483414634,76.3404146341,76.5224390244,76.6948780488,76.8597804878,77.0191463415,77.175,77.3293658537,77.4842439024
Argentina,65.2155365854,65.3385121951,65.4326097561,65.5093902439,65.5824146341,65.6686829268,65.7822439024,65.9300243902,66.1134878049,66.335097561,66.5908292683,66.8731219512,67.1679512195,67.4653170732,67.7586585366,68.0479512195,68.3367073171,68.6294390244,68.9266341463,69.2243170732,69.5144878049,69.7866585366,70.0353170732,70.257,70.454195122,70.6313902439,70.7990731707,70.9677560976,71.145902439,71.3375365854,71.5436585366,71.7632926829,71.9889512195,72.2156585366,72.4413902439,72.6651219512,72.8873414634,73.1080487805,73.3276829268,73.5442682927,73.755804878,73.9603170732,74.1557804878,74.3412682927,74.5187804878,74.6883170732,74.8514146341,75.0115609756,75.1712926829,75.331097561,75.4920243902,75.6535609756,75.8147560976,75.9745609756,76.134,76.2930243902
Armenia,65.8634634146,66.2843902439,66.7098536585,67.1378536585,67.5654146341,67.9915365854,68.4147317073,68.8304878049,69.2292682927,69.6000487805,69.9242682927,70.1828780488,70.3673414634,70.4796585366,70.5263414634,70.5319268293,70.5294146341,70.542902439,70.5829756098,70.6412682927,70.6845365854,70.6616097561,70.5355121951,70.2901463415,69.9356829268,69.5,69.0242926829,68.5675609756,68.182097561,67.8995121951,67.7487804878,67.7426829268,67.8626097561,68.0856585366,68.3986097561,68.7895121951,69.2431219512,69.7388536585,70.2481707317,70.7453414634,71.1996585366,71.5819756098,71.8883902439,72.1209756098,72.2847317073,72.3987804878,72.4912439024,72.5932439024,72.725902439,72.8987560976,73.1092926829,73.3459756098,73.5862195122,73.8119268293,74.0195853659,74.206195122
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
